Имя переменной;Тип;Индекс;Новый индекс;
GVL_Ai|masking[1];int;86;304;
GVL_Ai|masking[2];int;87;305;
GVL_Ai|masking[3];int;88;306;
GVL_Ai|masking[4];int;89;307;
GVL_Ai|masking[5];int;90;308;
GVL_Ai|masking[6];int;91;309;
GVL_Ai|masking[7];int;92;310;
GVL_Ai|masking[8];int;93;311;
GVL_Ai|masking[9];int;94;312;
GVL_Ai|masking[10];int;95;313;
GVL_Ai|masking[11];int;96;314;
GVL_Ai|masking[12];int;97;315;
GVL_Ai|masking[13];int;98;316;
GVL_Ai|masking[14];int;99;317;
GVL_Ai|masking[15];int;100;318;
GVL_Ai|masking[16];int;101;319;
GVL_Ai|masking[17];int;102;320;
GVL_Ai|masking[18];int;103;321;
GVL_Ai|masking[19];int;104;322;
GVL_Ai|masking[20];int;105;323;
GVL_Ai|masking[21];int;106;324;
GVL_Ai|masking[22];int;107;325;
GVL_Ai|masking[23];int;108;326;
GVL_Ai|masking[24];int;109;327;
GVL_Ai|masking[25];int;110;328;
GVL_Ai|masking[26];int;111;329;
GVL_Ai|masking[27];int;112;330;
GVL_Ai|masking[28];int;113;331;
GVL_Ai|masking[29];int;114;332;
GVL_Ai|masking[30];int;115;333;
GVL_Ai|masking[31];int;116;334;
GVL_Ai|masking[32];int;117;335;
GVL_Ai|masking[33];int;118;336;
GVL_Ai|masking[34];int;119;337;
GVL_Ai|masking[35];int;120;338;
GVL_Ai|masking[36];int;121;339;
GVL_Ai|masking[37];int;122;340;
GVL_Ai|masking[38];int;123;341;
GVL_Ai|masking[39];int;124;342;
GVL_Ai|masking[40];int;125;343;
GVL_Ai|masking[41];int;126;344;
GVL_Ai|masking[42];int;127;345;
GVL_Ai|masking[43];int;128;346;
GVL_Ai|masking[44];int;129;347;
GVL_Ai|masking[45];int;130;348;
GVL_Ai|masking[46];int;131;349;
GVL_Ai|masking[47];int;132;350;
GVL_Ai|masking[48];int;133;351;
GVL_Ai|masking[49];int;134;352;
GVL_Ai|masking[50];int;135;353;
GVL_Ai|masking[51];int;136;354;
GVL_Ai|masking[52];int;137;355;
GVL_Ai|masking[53];int;138;356;
GVL_Ai|masking[54];int;139;357;
GVL_Ai|masking[55];int;140;358;
GVL_Ai|masking[56];int;141;359;
GVL_Ai|masking[57];int;142;360;
GVL_Ai|masking[58];int;143;361;
GVL_Ai|masking[59];int;144;362;
GVL_Ai|masking[60];int;145;363;
GVL_Ai|masking[61];int;146;364;
GVL_Ai|masking[62];int;147;365;
GVL_Ai|masking[63];int;148;366;
GVL_Ai|masking[64];int;149;367;
GVL_Ai|masking[65];int;150;368;
GVL_Ai|masking[66];int;151;369;
GVL_Ai|masking[67];int;152;370;
GVL_Ai|masking[68];int;153;371;
GVL_Ai|masking[69];int;154;372;
GVL_Ai|masking[70];int;155;373;
GVL_Ai|masking[71];int;156;374;
GVL_Ai|masking[72];int;157;375;
GVL_Ai|masking[73];int;158;376;
GVL_Ai|masking[74];int;159;377;
GVL_Ai|masking[75];int;160;378;
GVL_Ai|masking[76];int;161;379;
GVL_Ai|masking[77];int;162;380;
GVL_Ai|masking[78];int;163;381;
GVL_Ai|masking[79];int;164;382;
GVL_Ai|masking[80];int;165;383;
GVL_Ai|masking[81];int;166;384;
GVL_Ai|masking[82];int;167;385;
GVL_Ai|masking[83];int;168;386;
GVL_Ai|masking[84];int;169;387;
GVL_Ai|masking[85];int;170;388;
GVL_Ai|masking[86];int;171;389;
GVL_Ai|masking[87];int;172;390;
GVL_Ai|masking[88];int;173;391;
GVL_Ai|masking[89];int;174;392;
GVL_Ai|masking[90];int;175;393;
GVL_Ai|masking[91];int;176;394;
GVL_Ai|masking[92];int;177;395;
GVL_Ai|masking[93];int;178;396;
GVL_Ai|masking[94];int;179;397;
GVL_Ai|masking[95];int;180;398;
GVL_Ai|masking[96];int;181;399;
fhd[1];byte;3028;1;
fhd[2];byte;3029;2;
fhd[3];byte;3030;3;
fhd[4];byte;3031;4;
fhd[5];byte;3032;5;
Main.Block_Pumps[1];int;1;2965;
Main.Block_Pumps[2];int;2;3028;
